record_id,craft_cluster,state,craft_category,material,production_days,artisan_experience_years,raw_material_cost_inr,daily_wage_rate_inr,labor_cost_inr,cost_floor_inr,fair_trade_price_inr,gi_tagged,dye_type,seasonal_quarter,festive_multiplier,market_clearing_price_inr,demand_score,units_sold_monthly,buyer_rating
KS-CRAFT-0001,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,16,17,3382.63,620.0,9920.0,13302.63,16628.29,1,Metallic Zari & Organic Dip,Q1 (Jan-Mar),1.1,23454.25,95.1,17,4.86
KS-CRAFT-0002,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,6,4,1804.92,680.0,4080.0,5884.92,7356.15,1,Vegetable Dye Blend,Q1 (Jan-Mar),1.1,9321.21,91.2,22,4.65
KS-CRAFT-0003,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,4,16,550.08,520.0,2080.0,2630.08,3287.6,0,Organic Mineral Pigments,Q4 (Oct-Dec),1.45,4995.07,100.0,20,4.64
KS-CRAFT-0004,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,4,27,625.36,650.0,2600.0,3225.36,4031.7,1,Natural Vegetable Resins,Q1 (Jan-Mar),1.1,6037.18,91.6,23,4.79
KS-CRAFT-0005,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,15,21,3179.96,620.0,9300.0,12479.96,15599.95,0,Metallic Zari & Organic Dip,Q1 (Jan-Mar),1.1,19846.27,76.9,16,4.96
KS-CRAFT-0006,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,4,20,488.56,520.0,2080.0,2568.56,3210.7,1,Natural Plant Extracts (Haldi/Neel),Q3 (Jul-Sep),1.15,4768.45,89.8,21,4.59
KS-CRAFT-0007,Jaipur Blue Pottery,Rajasthan,Pottery,"Quartz Powder, Fuller's Earth & Glass",6,23,702.56,580.0,3480.0,4182.56,5228.2,1,Cobalt Oxide Blue Glaze,Q3 (Jul-Sep),1.15,7577.64,88.0,18,4.52
KS-CRAFT-0008,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,7,28,2145.33,540.0,3780.0,5925.33,7406.66,1,Oxidized Brass Finish,Q3 (Jul-Sep),1.15,10879.52,89.4,21,4.58
KS-CRAFT-0009,Kashmiri Pashmina,Jammu & Kashmir,Textiles,Grade-A Changthangi Cashmere,25,17,8294.3,750.0,18750.0,27044.3,33805.38,0,Walnut Hull & Saffron Tint,Q4 (Oct-Dec),1.45,53766.82,97.7,17,4.83
KS-CRAFT-0010,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,6,27,357.17,520.0,3120.0,3477.17,4346.46,1,Organic Mineral Pigments,Q4 (Oct-Dec),1.45,8332.38,100.0,25,4.55
KS-CRAFT-0011,Banarasi Brocade,Uttar Pradesh,Textiles,Mulberry Silk & Zari,15,21,3662.75,620.0,9300.0,12962.75,16203.44,1,Vegetable Dye Blend,Q3 (Jul-Sep),1.15,22739.62,97.0,23,4.99
KS-CRAFT-0012,Mithila Madhubani,Bihar,Folk Painting,Handmade Recycled Paper & Canvas,7,35,568.6,520.0,3640.0,4208.6,5260.75,1,Natural Plant Extracts (Haldi/Neel),Q1 (Jan-Mar),1.1,7799.05,85.7,22,4.78
KS-CRAFT-0013,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,10,26,1250.64,680.0,6800.0,8050.64,10063.3,1,Vegetable Dye Blend,Q3 (Jul-Sep),1.15,14797.4,90.7,20,4.67
KS-CRAFT-0014,Kullu Geometric Shawls,Himachal Pradesh,Textiles,Indigenous Himalayan Sheep Wool,9,11,1758.87,560.0,5040.0,6798.87,8498.59,1,Vegetable Dye Borders,Q1 (Jan-Mar),1.1,11962.24,85.7,19,4.8
KS-CRAFT-0015,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,8,26,1658.09,540.0,4320.0,5978.09,7472.61,1,Oxidized Brass Finish,Q2 (Apr-Jun),0.95,8967.75,74.4,15,4.6
KS-CRAFT-0016,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,4,6,1034.89,540.0,2160.0,3194.89,3993.61,1,Natural Beeswax Patina,Q2 (Apr-Jun),0.95,4700.47,72.4,14,4.62
KS-CRAFT-0017,Dhokra Metal Casting,Chhattisgarh,Metalwork,Lost-Wax Brass & Bell Metal,11,33,1361.69,540.0,5940.0,7301.69,9127.11,1,Natural Beeswax Patina,Q2 (Apr-Jun),0.95,11261.55,80.0,16,4.55
KS-CRAFT-0018,Pochampally Ikat,Telangana,Textiles,Pure Handloom Silk,3,24,2246.82,680.0,2040.0,4286.82,5358.52,1,Natural Indigo/Madder,Q1 (Jan-Mar),1.1,7477.05,86.0,18,4.76
KS-CRAFT-0019,Channapatna Lacquerware,Karnataka,Woodcraft,Seasoned Hale Wood & Vegetable Lac,2,7,862.14,650.0,1300.0,2162.14,2702.67,1,Organic Turmeric & Indigo Lacquer,Q4 (Oct-Dec),1.45,4501.46,100.0,25,4.89
